pH,Temperature,Turbidity,TDS,DO,BOD,COD,status
7.999,27.658,1.735,33.03104,6.582,7.39444,18.4861,Good
7.984,,1.479,32.94336,6.641,,,Good
7.989,,1.386,32.96064,6.742,,,Good
7.976,,1.823,32.91776,6.62,,,Good
8.003,27.944,1.641,32.99328,6.81,8.65612,21.6403,Good
8.008,27.843,1.833,33.01952,6.854,8.71684,21.792099999999998,Good
8.0,27.944,1.828,32.97856,6.849,9.090720000000001,22.7268,Good
7.992,,1.222,32.944,6.715,,,Good
8.006,27.825,1.193,33.00736,6.793,7.710600000000001,19.276500000000002,Good
7.989,,1.272,32.86592,6.78,,,Good
7.984,,1.187,32.8064,6.687,,,Good
7.997,27.758,1.62,33.01568,6.89,8.84704,22.1176,Good
7.986,,1.244,32.79296,6.833,,,Good
7.983,,1.512,32.82624,6.543,,,Good
7.988,27.955,2.175,32.86784,6.617,10.6422,26.6055,Good
7.976,27.95,1.59,32.84864,6.54,9.918000000000001,24.795,Good
7.985,27.907,1.736,32.91136,6.591,9.41416,23.535400000000003,Good
7.987,27.88,1.816,32.92544,6.531,10.038400000000001,25.096,Good
7.989,27.86,1.314,32.954879999999996,6.366,9.3044,23.261,Good
7.984,27.845,1.367,32.942080000000004,6.466,8.5598,21.399499999999996,Good
7.985,27.784,1.229,32.784,6.384,9.32652,23.3163,Good
7.997,27.886,1.639,33.04128,6.639,8.817480000000002,22.0437,Good
7.999,27.901,1.42,32.92864,6.433,8.26968,20.6742,Good
7.996,27.901,1.853,33.03872,6.563,9.127080000000001,22.817700000000002,Good
7.981,27.932,1.495,32.8448,6.267,8.914760000000001,22.286900000000003,Good
7.974,27.895,1.229,32.88576,6.408,8.377,20.942500000000003,Good
8.0,27.846,1.52,33.0464,6.339,8.81968,22.0492,Good
7.975,27.816,1.304,33.0112,6.246,7.67088,19.1772,Good
7.979,27.809,1.247,32.97152,6.03,8.24812,20.6203,Good
7.982,27.815,1.454,32.97152,6.243,8.468000000000002,21.17,Good
7.991,27.826,1.263,32.9696,6.001,8.594280000000001,21.4857,Good
7.983,27.851,1.47,32.89856,6.394,8.25728,20.6432,Good
7.978,27.838,1.114,32.83584,6.334,7.76104,19.4026,Good
7.988,27.88,1.346,32.9088,6.432,8.9692,22.423000000000002,Good
7.992,27.852,1.824,32.92288,6.574,9.00656,22.5164,Good
7.978,27.829,1.248,32.93056,6.483,8.79832,21.9958,Good
7.98,27.776,1.177,32.909440000000004,6.374,7.91228,19.7807,Good
7.977,27.876,1.378,32.94784,6.258,9.013679999999999,22.5342,Good
7.954,27.841,1.684,32.91136,,8.77128,21.9282,Poor
7.947,27.805,1.518,32.8896,,8.8072,22.018,Poor
7.956,27.753,1.264,32.8384,,8.67464,21.6866,Poor
7.944,27.761,1.184,32.89984,,8.94648,22.3662,Poor
7.93,27.767,1.196,32.816,,8.46776,21.1694,Poor
7.933,27.755,1.212,32.89472,,8.81,22.025,Poor
7.947,27.686,1.218,32.6304,,8.82808,22.0702,Poor
7.956,27.681,1.047,32.65792,,9.18668,22.9667,Poor
7.963,27.67,1.203,32.64768,6.002,9.2186,23.0465,Good
7.963,27.658,1.081,32.64832,6.1,8.645240000000001,21.613100000000003,Good
7.967,27.639,1.051,32.65344,6.139,8.54412,21.3603,Good
7.963,27.58,1.274,32.684160000000006,6.059,8.458,21.145,Good
7.963,27.543,1.13,32.7072,6.024,8.53664,21.3416,Good
7.954,27.51,1.054,32.7264,,8.4748,21.186999999999998,Poor
7.961,27.504,1.007,32.7104,,8.47012,21.1753,Poor
7.955,27.474,1.314,32.68736,,8.61992,21.5498,Poor
7.953,27.451,1.143,32.68288,,7.897080000000002,19.742700000000003,Poor
7.954,27.443,1.325,32.6912,,8.38564,20.964100000000002,Poor
7.96,27.481,1.337,32.6944,,8.05908,20.1477,Poor
7.955,27.482,1.207,32.7008,,8.257160000000002,20.642900000000004,Poor
7.955,27.483,1.114,32.69888,,8.20064,20.5016,Poor
7.955,27.465,1.252,32.707840000000004,,8.430000000000001,21.075000000000003,Poor
7.956,27.455,1.008,32.70912,,7.9308,19.826999999999998,Poor
7.949,27.453,1.237,32.71808,,8.01444,20.0361,Poor
7.955,27.432,1.167,32.71488,,8.00196,20.0049,Poor
7.955,27.419,1.255,32.7072,,8.544920000000001,21.3623,Poor
7.949,27.386,1.47,32.70464,,8.23448,20.586199999999998,Poor
7.943,27.424,1.432,32.75072,,8.35232,20.8808,Poor
7.937,27.388,1.164,32.762240000000006,,7.822240000000001,19.555600000000002,Poor
7.925,27.398,1.186,32.78784,,7.04504,17.6126,Poor
7.923,27.368,1.181,32.77888,,7.07644,17.6911,Poor
7.925,27.355,1.189,32.78016,,7.490600000000001,18.7265,Poor
7.932,27.347,1.129,32.781439999999996,,7.6139600000000005,19.0349,Poor
7.914,27.351,1.277,32.81984,,7.551880000000001,18.8797,Poor
7.926,27.316,1.219,32.7968,,7.268680000000001,18.1717,Poor
7.912,27.335,1.225,32.81792,,7.0402000000000005,17.6005,Poor
7.916,27.288,1.07,32.80704,,7.14344,17.8586,Poor
,27.29,1.065,32.81984,,6.528600000000001,16.3215,Fair
7.903,27.282,1.078,32.8256,,6.423760000000001,16.0594,Poor
7.904,27.304,1.091,32.85184,,6.492519999999999,16.231299999999997,Poor
7.908,27.419,0.975,32.92224,,6.0593200000000005,15.1483,Poor
7.924,27.408,1.107,32.92288,,6.18724,15.4681,Poor
7.907,27.336,1.14,32.87808,,5.83648,14.591199999999999,Poor
7.924,27.288,1.28,32.8608,,6.67584,16.6896,Poor
7.939,27.28,1.145,32.8672,,6.4446,16.1115,Poor
7.946,27.259,1.226,32.85248,,7.017920000000001,17.544800000000002,Poor
7.952,27.303,1.237,32.870400000000004,,6.78484,16.9621,Poor
7.954,27.302,1.374,32.88512,,6.98296,17.4574,Poor
7.973,27.378,1.513,32.91392,,7.01644,17.5411,Poor
7.972,27.42,1.314,32.93696,,6.733200000000001,16.833000000000002,Poor
7.973,27.401,1.219,32.9152,,6.595480000000001,16.4887,Poor
7.973,27.486,1.348,32.96,6.041,6.579680000000001,16.4492,Good
7.977,27.481,1.483,32.94016,6.097,6.854680000000001,17.1367,Good
7.965,27.634,1.596,33.00928,,6.774720000000001,16.9368,Poor
7.978,27.625,2.029,32.992,,7.2618,18.1545,Poor
7.969,27.613,2.536,32.97728,,7.48184,18.7046,Poor
7.979,27.612,1.742,33.01056,6.025,6.99416,17.4854,Good
7.979,27.689,1.433,32.998400000000004,,6.650920000000001,16.6273,Poor
7.974,27.731,1.592,33.0336,,6.6936800000000005,16.7342,Poor
7.982,27.638,1.992,33.09568,6.019,7.102240000000001,17.7556,Good
7.977,27.788,2.15,33.0784,,6.8650400000000005,17.1626,Poor
7.976,27.729,2.366,33.12832,,6.93072,17.3268,Poor
7.986,27.588,3.035,33.10464,6.042,7.549640000000001,18.874100000000002,Good
7.983,27.676,2.368,33.10784,6.005,6.97328,17.4332,Good
7.981,27.797,2.388,33.08096,,7.11336,17.7834,Poor
7.981,27.735,2.266,33.113600000000005,,6.685600000000001,16.714000000000002,Poor
7.993,27.667,2.683,33.11936,6.051,7.33356,18.3339,Good
7.991,27.721,2.478,33.1328,,7.027680000000001,17.569200000000002,Poor
7.991,27.721,2.478,33.1328,,7.027680000000001,17.569200000000002,Poor
7.994,27.653,2.293,33.12832,6.019,6.843240000000001,17.1081,Good
7.989,27.681,2.518,33.14048,6.01,7.021280000000001,17.5532,Good
7.976,27.961,1.642,33.12064,,5.86368,14.659199999999998,Poor
7.982,27.987,1.905,33.12192,,6.2675600000000005,15.6689,Poor
7.989,27.787,2.188,33.15904,,6.608560000000001,16.5214,Poor
7.986,27.775,1.989,33.1744,6.021,6.534600000000001,16.3365,Good
7.979,27.821,1.841,33.1584,,6.13668,15.3417,Poor
7.992,,3.369,33.18272,6.142,,,Good
7.989,27.873,2.089,33.18464,6.036,6.5304400000000005,16.3261,Good
7.993,27.981,2.908,33.191680000000005,6.14,7.440080000000001,18.6002,Good
7.995,27.884,2.801,33.17184,6.091,7.24092,18.1023,Good
7.985,27.993,2.918,33.18976,6.116,7.1782400000000015,17.945600000000002,Good
7.989,27.881,1.399,33.1904,,5.86108,14.6527,Poor
7.997,27.843,2.284,33.17824,6.132,6.862640000000001,17.1566,Good
7.996,,3.321,33.16032,6.207,,,Good
7.986,,1.953,33.17696,6.176,,,Good
7.98,,1.201,33.201280000000004,,,,Poor
7.982,,1.426,33.20576,6.054,,,Good
7.987,,1.315,33.17184,6.074,,,Good
7.992,,1.911,33.2256,6.228,,,Good
7.975,,1.055,33.18976,6.045,,,Good
7.981,,1.352,33.20576,6.194,,,Good
7.992,,1.298,33.168,6.151,,,Good
7.995,,1.089,33.2032,6.214,,,Good
7.983,,1.304,33.23904,6.351,,,Good
7.997,,1.864,33.27424,6.52,,,Good
8.0,,1.313,33.20192,6.273,,,Good
7.996,,1.983,33.22432,6.445,,,Good
7.998,,1.089,33.18272,6.24,,,Good
7.988,,1.24,33.19808,6.298,,,Good
7.986,,1.112,33.20256,6.033,,,Good
8.0,,1.795,33.20448,6.564,,,Good
7.998,,1.162,33.2128,6.411,,,Good
7.982,,1.012,33.23392,6.285,,,Good
7.99,,0.984,33.22496,6.239,,,Good
7.993,,1.193,33.24288,6.372,,,Good
7.99,,0.95,33.228159999999995,6.392,,,Good
8.007,,1.253,33.228159999999995,6.594,,,Good
7.998,,1.313,33.230720000000005,6.431,,,Good
7.991,,1.107,33.2416,6.505,,,Good
7.997,,1.097,33.16736,6.573,,,Good
7.991,,1.249,33.22752,6.662,,,Good
7.992,,1.16,33.20448,6.707,,,Good
7.998,,1.737,33.22496,6.701,,,Good
8.0,,1.106,33.2192,6.731,,,Good
8.001,,1.303,33.21152,6.771,,,Good
7.994,,1.114,33.216,6.388,,,Good
8.012,,1.846,33.2256,6.839,,,Good
7.99,,0.935,33.22944,6.347,,,Good
7.974,,1.092,33.2352,6.032,,,Good
8.002,,0.92,33.23264,6.038,,,Good
8.013,,1.3,33.235839999999996,6.941,,,Good
8.01,,1.159,33.23456,6.556,,,Good
7.984,,0.965,33.22752,6.44,,,Good
7.992,,1.042,33.223040000000005,6.554,,,Good
8.001,,1.235,33.23968,6.582,,,Good
7.999,,1.508,33.24096,6.473,,,Good
8.006,,1.299,33.23712,6.663,,,Good
8.0,,1.087,33.2352,6.377,,,Good
8.0,,1.705,33.24224,6.562,,,Good
7.999,,1.058,33.23648,6.32,,,Good
7.996,,1.032,33.22176,6.44,,,Good
7.99,,1.16,33.230720000000005,6.347,,,Good
7.992,,1.295,33.22112,6.401,,,Good
7.983,,1.113,33.22432,6.271,,,Good
7.991,,1.191,33.228159999999995,6.352,,,Good
7.989,,1.184,33.22176,6.325,,,Good
7.981,,0.985,33.22688,6.117,,,Good
7.975,,0.869,33.22624,,,,Poor
7.984,,0.932,33.230720000000005,,,,Poor
7.974,,1.007,33.20512,6.129,,,Good
7.968,,1.082,33.201280000000004,,,,Poor
7.956,,0.942,33.19936,,,,Poor
7.958,,1.051,33.20192,,,,Poor
7.955,,0.994,33.20064,,,,Poor
7.957,,0.895,33.20192,,,,Poor
7.96,,0.947,33.19616,,,,Poor
7.959,,0.882,33.20576,,,,Poor
7.924,,0.737,33.20448,,,,Poor
7.94,,0.854,33.21728,,,,Poor
7.924,,0.847,33.2032,,,,Poor
7.97,,0.933,33.21152,,,,Poor
7.985,,0.859,33.20512,6.007,,,Good
7.981,,1.089,33.20704,,,,Poor
8.006,,1.168,33.13216,6.299,,,Good
8.005,,1.337,33.11296,6.425,,,Good
8.006,,1.07,33.11744,,,,Poor
8.004,,1.25,33.10976,6.338,,,Good
8.003,,1.217,33.09376,6.312,,,Good
8.004,,1.072,33.11296,6.253,,,Good
7.998,,1.087,33.19808,6.172,,,Good
7.995,,1.214,33.19424,6.182,,,Good
7.991,,1.2,33.19296,,,,Poor
7.978,,1.107,33.19104,,,,Poor
7.975,,1.256,33.18848,,,,Poor
7.987,,1.216,33.1648,6.104,,,Good
7.99,,1.116,33.150079999999996,6.088,,,Good
7.985,,1.192,33.168,,,,Poor
7.984,,1.228,33.15968,6.089,,,Good
7.982,,1.443,33.1488,,,,Poor
7.977,,1.311,33.13152,,,,Poor
7.971,,1.197,33.13408,,,,Poor
7.978,,1.413,33.12704,,,,Poor
7.969,,1.414,33.123200000000004,,,,Poor
7.972,,1.491,33.12448,,,,Poor
7.967,,1.24,33.12064,,,,Poor
7.971,,1.194,33.11168,,,,Poor
7.961,,1.347,33.12064,,,,Poor
7.95,,1.103,33.1168,,,,Poor
7.957,,1.174,33.13152,,,,Poor
7.92,,1.127,33.12448,,,,Poor
7.938,,1.213,33.11488,,,,Poor
7.946,,1.183,33.111039999999996,,,,Poor
7.929,,1.034,33.11296,,,,Poor
,,0.881,33.11232,,,,Fair
,,1.003,33.12384,,,,Fair
,,0.984,33.11808,,,,Fair
7.907,,1.105,33.13216,,,,Poor
7.91,,1.054,33.12576,,,,Poor
7.928,,1.104,33.14304,,,,Poor
7.917,,1.073,33.14176,,,,Poor
7.943,,1.14,33.14048,,,,Poor
7.933,,1.149,33.13408,,,,Poor
7.934,,1.187,33.1488,,,,Poor
7.932,,1.226,33.14304,,,,Poor
7.96,,1.01,33.14752,,,,Poor
7.952,,1.078,33.12512,,,,Poor
7.973,,2.003,33.1296,,,,Poor
7.981,,1.905,33.1328,,,,Poor
7.973,,1.315,33.14112,6.128,,,Good
8.004,,4.544,33.15328,6.409,,,Good
7.996,,2.04,33.14752,6.304,,,Good
7.995,,1.864,33.14944,6.323,,,Good
7.991,,1.409,33.13472,6.279,,,Good
7.994,,2.62,33.13408,6.323,,,Good
7.985,,1.198,33.1744,6.132,,,Good
7.989,,2.412,33.16096,6.2,,,Good
7.982,,1.593,33.20192,6.106,,,Good
7.97,,1.082,33.17824,,,,Poor
7.967,,1.816,33.15904,,,,Poor
7.956,,2.188,33.12448,,,,Poor
7.96,,2.508,33.1104,,,,Poor
7.96,,2.246,33.12,,,,Poor
7.963,,2.588,33.13408,,,,Poor
7.963,,2.588,33.13408,,,,Poor
7.964,,2.37,33.13152,,,,Poor
7.962,,2.255,33.15136,,,,Poor
7.965,,2.347,33.14432,,,,Poor
7.963,,2.87,33.14624,,,,Poor
7.963,,2.698,33.16032,,,,Poor
7.962,,2.092,33.168,,,,Poor
7.962,,2.352,33.17056,,,,Poor
7.968,,2.148,33.17888,,,,Poor
7.977,,2.749,33.18656,,,,Poor
7.964,,2.136,33.18656,,,,Poor
7.961,,2.06,33.19744,,,,Poor
7.959,,1.511,33.19744,,,,Poor
7.963,,1.761,33.19552,,,,Poor
7.968,,2.76,33.191680000000005,6.097,,,Good
7.957,,1.479,33.2064,,,,Poor
7.959,,1.846,33.20256,6.044,,,Good
7.95,,1.665,33.1936,,,,Poor
7.966,,1.819,33.22176,6.085,,,Good
7.96,,1.412,33.21024,6.031,,,Good
7.954,,1.442,33.208960000000005,6.05,,,Good
7.97,,3.891,33.25248,6.236,,,Good
7.966,,1.893,33.25248,6.213,,,Good
7.964,,1.861,33.2096,6.214,,,Good
7.952,,1.79,33.22496,6.093,,,Good
7.96,,1.42,33.21408,6.115,,,Good
7.966,,1.558,33.216640000000005,6.132,,,Good
7.959,,1.231,33.220479999999995,6.122,,,Good
7.98,,1.705,33.232,6.259,,,Good
7.957,,1.178,33.23776,,,,Poor
7.968,,1.571,33.23328,6.232,,,Good
7.976,,2.172,33.216640000000005,6.251,,,Good
7.987,,1.048,33.23392,6.206,,,Good
7.981,,1.092,33.232,6.157,,,Good
7.971,,1.206,33.23712,,,,Poor
7.992,,1.284,33.25248,6.364,,,Good
7.981,,1.485,33.235839999999996,6.371,,,Good
7.984,,1.144,33.21984,6.298,,,Good
7.992,,1.809,33.2416,6.487,,,Good
7.978,,1.193,33.19296,6.327,,,Good
7.99,,1.4,33.22176,6.397,,,Good
7.995,,1.403,33.2128,6.237,,,Good
8.004,,1.774,33.215360000000004,6.683,,,Good
7.994,,1.322,33.2096,6.616,,,Good
7.999,,1.387,33.20512,6.658,,,Good
7.995,,1.289,33.208960000000005,6.551,,,Good
7.994,,1.337,33.19616,6.677,,,Good
8.003,,1.41,33.20256,6.709,,,Good
8.0,,1.605,33.19808,6.795,,,Good
7.994,,1.55,33.21984,6.57,,,Good
7.995,,1.992,33.20704,6.663,,,Good
7.994,,1.331,33.20448,6.598,,,Good
7.996,,1.284,33.2032,6.661,,,Good
7.999,,1.133,33.20512,6.602,,,Good
7.993,,1.796,33.2224,6.553,,,Good
7.998,,1.4,33.18976,6.455,,,Good
7.992,,1.404,33.19616,6.538,,,Good
7.992,,1.315,33.21152,6.396,,,Good
7.988,,1.101,33.20256,6.45,,,Good
7.984,,1.073,33.2,6.299,,,Good
7.972,,1.848,33.19488,6.203,,,Good
7.971,,1.208,33.19872,6.221,,,Good
7.962,,1.254,33.201280000000004,6.159,,,Good
7.972,,1.33,33.19616,6.042,,,Good
7.981,,1.415,33.22624,6.239,,,Good
7.994,,1.653,33.22112,6.353,,,Good
7.989,,1.645,33.22944,6.371,,,Good
7.985,,1.527,33.23456,6.33,,,Good
7.979,,1.438,33.23392,6.297,,,Good
7.982,,1.191,33.22944,6.261,,,Good
7.983,,1.674,33.22624,6.326,,,Good
7.984,,1.183,33.22752,6.284,,,Good
7.985,,1.237,33.22752,6.258,,,Good
7.982,,1.149,33.21344,6.216,,,Good
7.98,,1.27,33.216640000000005,6.149,,,Good
7.976,,1.429,33.20576,6.157,,,Good
7.968,,1.274,33.21152,6.002,,,Good
7.979,,1.436,33.2128,,,,Poor
7.958,,1.174,33.22176,,,,Poor
7.941,,0.946,33.22176,,,,Poor
7.953,,1.402,33.228159999999995,,,,Poor
7.936,,0.919,33.21792,,,,Poor
7.937,,1.102,33.23456,,,,Poor
7.953,,1.056,33.2224,,,,Poor
7.97,,1.24,33.223040000000005,,,,Poor
7.975,,1.23,33.21024,,,,Poor
7.978,,1.289,33.21216,,,,Poor
7.977,,1.162,33.16544,,,,Poor
7.975,,1.361,33.255680000000005,6.045,,,Good
7.982,,1.133,33.17376,,,,Poor
7.973,,1.418,33.181439999999995,6.0,,,Fair
7.984,,1.455,33.16672,6.066,,,Good
7.972,,1.509,33.16096,,,,Poor
7.957,,1.553,33.10272,,,,Poor
7.947,,1.461,33.14048,,,,Poor
7.948,,1.451,33.12192,,,,Poor
7.949,,1.198,33.13152,,,,Poor
7.943,,1.196,33.11296,,,,Poor
7.939,,1.235,33.11808,,,,Poor
7.944,,1.379,33.111039999999996,,,,Poor
7.947,,1.405,33.11936,,,,Poor
7.942,,1.465,33.08992,,,,Poor
7.944,,1.411,33.1072,,,,Poor
7.943,,1.235,33.10784,,,,Poor
7.946,,1.329,33.11616,,,,Poor
7.938,,1.5,33.09312,,,,Poor
7.938,,1.367,33.099520000000005,,,,Poor
7.938,,1.388,33.08992,,,,Poor
7.934,,1.262,33.10976,,,,Poor
7.923,,1.277,33.09056,,,,Poor
7.931,,1.248,33.1168,,,,Poor
7.933,,1.26,33.11296,,,,Poor
7.93,,1.733,33.12832,,,,Poor
7.932,,1.293,33.118719999999996,,,,Poor
7.932,,1.382,33.12896,,,,Poor
7.932,,1.258,33.10976,,,,Poor
7.93,,1.277,33.12384,,,,Poor
7.927,,1.188,33.115520000000004,,,,Poor
7.901,,1.274,33.12128,,,,Poor
,,1.176,33.113600000000005,,,,Fair
,,1.071,33.18528,,,,Fair
,,1.112,33.111039999999996,,,,Fair
,,1.101,33.11296,,,,Fair
,,0.96,33.10784,,,,Fair
7.911,,1.139,33.118719999999996,,,,Poor
7.923,,1.193,33.09568,,,,Poor
7.922,,1.135,33.10848,,,,Poor
7.927,,1.258,33.09888,,,,Poor
7.929,,1.391,33.10208,,,,Poor
7.936,,1.365,33.07904,,,,Poor
7.922,,1.656,33.09248,,,,Poor
7.923,,1.744,33.0688,,,,Poor
7.916,,1.417,33.074560000000005,,,,Poor
7.926,,1.581,33.08864,,,,Poor
7.936,,1.534,33.11296,,,,Poor
7.939,,1.549,33.12064,,,,Poor
7.951,,1.334,33.14432,,,,Poor
7.962,,1.569,33.13024,,,,Poor
7.966,,1.389,33.177600000000005,,,,Poor
7.964,,1.181,33.1584,,,,Poor
7.96,,1.386,33.14688,,,,Poor
7.962,,1.319,33.1328,,,,Poor
7.998,,3.983,33.1296,,,,Poor
7.993,,2.495,33.12128,,,,Poor
7.99,,2.36,33.13152,,,,Poor
7.99,,2.36,33.13152,,,,Poor
7.983,,1.822,33.09504,,,,Poor
7.987,,3.101,33.23008,,,,Poor
7.982,,2.47,33.10912,,,,Poor
7.985,,2.804,33.196799999999996,,,,Poor
7.991,,3.928,33.09632,,,,Poor
7.99,,2.906,33.208960000000005,,,,Poor
7.984,,2.836,33.03168,,,,Poor
7.978,,3.665,33.0368,,,,Poor
7.985,,3.292,32.90176,,,,Poor
7.98,,2.125,32.88192,,,,Poor
7.969,,2.149,32.85568,,,,Poor
7.968,,2.254,32.98432,,,,Poor
7.964,,1.843,32.6144,,,,Poor
7.964,,2.149,32.79808,,,,Poor
7.97,,2.186,32.58816,,,,Poor
7.964,,2.01,32.94336,,,,Poor
7.972,,1.963,32.68736,,,,Poor
7.976,,2.065,32.909440000000004,,,,Poor
7.972,,1.911,31.82144,,,,Poor
7.974,,2.352,32.7808,,,,Poor
7.972,27.979,2.35,32.778240000000004,,8.08192,20.2048,Poor
7.964,27.879,1.861,32.74432,,6.974119999999999,17.435299999999998,Poor
7.966,27.863,3.858,32.70976,,9.46784,23.6696,Poor
7.955,27.837,1.285,32.7168,,6.07716,15.1929,Poor
7.934,27.824,1.086,32.69696,,5.593520000000002,13.983800000000002,Poor
7.952,27.819,1.901,32.71488,,6.982120000000001,17.4553,Poor
7.918,27.826,0.995,32.73088,,5.55348,13.883700000000001,Poor
7.923,27.82,1.0,32.73536,,5.3128,13.282,Poor
7.942,27.814,1.273,32.75264,,5.77212,14.430299999999999,Poor
7.948,27.777,1.219,32.68864,,5.7023600000000005,14.2559,Poor
7.956,27.764,1.346,32.63872,,6.2007200000000005,15.501800000000001,Poor
7.952,27.77,1.223,32.7296,,5.778600000000001,14.4465,Poor
7.95,27.798,1.298,32.77504,,6.0674399999999995,15.168599999999998,Poor
7.954,27.785,1.389,32.764160000000004,,6.2578,15.644499999999999,Poor
7.959,27.785,1.593,32.78784,,6.357,15.8925,Poor
7.956,27.784,1.293,32.81344,,6.08252,15.206299999999999,Poor
7.959,27.763,1.62,32.798719999999996,,6.174640000000001,15.436600000000002,Poor
7.947,27.715,1.371,32.78272,,5.702999999999999,14.257499999999999,Poor
7.958,27.706,1.263,32.77248,,6.31428,15.7857,Poor
7.95,27.723,1.212,32.801280000000006,,6.16984,15.424599999999998,Poor
7.941,27.76,1.063,32.82368,,5.684200000000001,14.2105,Poor
7.935,27.704,1.406,32.83392,,5.738320000000001,14.3458,Poor
7.937,27.69,1.137,32.79616,,5.7894000000000005,14.473500000000001,Poor
7.924,27.715,0.983,32.8352,,5.1342,12.835499999999998,Poor
7.945,27.726,1.866,32.8096,,6.44648,16.1162,Poor
7.927,27.698,1.098,32.817280000000004,,5.331440000000001,13.3286,Poor
7.926,27.697,1.005,32.79552,,5.120360000000001,12.8009,Poor
7.921,27.709,1.346,32.82752,,5.87632,14.6908,Poor
7.92,27.709,0.969,32.83712,,5.330920000000001,13.327300000000001,Poor
7.914,27.763,0.866,32.88,,4.967840000000001,12.4196,Poor
7.907,27.775,0.928,32.88192,,5.0931999999999995,12.732999999999999,Poor
7.91,27.801,1.132,32.896640000000005,,5.32568,13.3142,Poor
7.95,27.779,2.575,32.88384,,6.9609200000000016,17.402300000000004,Poor
7.923,27.771,1.149,32.89408,,6.09508,15.2377,Poor
,27.758,1.038,32.85696,,5.27864,13.1966,Fair
7.91,27.754,1.903,32.88384,,6.33492,15.8373,Poor
7.91,27.732,0.927,32.85376,,5.492360000000001,13.7309,Poor
7.901,27.722,1.008,32.85504,,5.40336,13.5084,Poor
7.913,27.688,0.933,32.82176,,5.184440000000001,12.961100000000002,Poor
7.924,27.691,1.576,33.00288,,6.7256800000000005,16.8142,Poor
7.916,27.667,1.107,32.857600000000005,,5.4855599999999995,13.713899999999999,Poor
7.919,27.633,1.075,32.92928,,5.30684,13.2671,Poor
,27.658,1.025,32.903040000000004,,4.9980400000000005,12.4951,Fair
7.922,27.655,1.027,32.99456,,5.4622,13.6555,Poor
7.903,27.64,0.853,32.91648,,5.5798000000000005,13.9495,Poor
,27.639,0.978,32.947199999999995,,5.02672,12.566799999999999,Fair
7.92,27.642,3.138,32.96192,,7.2309600000000005,18.0774,Poor
,27.658,1.053,32.96,,4.986840000000001,12.4671,Fair
7.943,27.38,1.547,32.73472,,5.8362,14.590499999999999,Poor
7.936,27.412,1.055,32.80512,,5.27396,13.184899999999999,Poor
7.925,27.431,0.953,32.84608,,5.018280000000001,12.545700000000002,Poor
,27.45,1.073,32.85312,,5.1134,12.7835,Fair
7.913,27.266,1.051,32.73088,,5.31028,13.275699999999999,Poor
7.951,27.213,1.14,32.6944,,5.77144,14.4286,Poor
7.947,27.199,1.172,32.64832,,5.505520000000001,13.763800000000002,Poor
7.942,27.176,1.257,32.64832,,5.39228,13.4807,Poor
7.939,27.198,1.153,32.66688,,5.48364,13.7091,Poor
7.922,27.209,0.866,32.637440000000005,,5.00112,12.5028,Poor
,27.197,0.726,32.67136,,4.70896,11.7724,Fair
,27.198,0.98,32.7072,,5.379040000000001,13.447600000000001,Fair
,27.171,0.886,32.69632,,4.905280000000001,12.263200000000001,Fair
7.922,27.13,1.122,32.6944,,5.1116,12.779,Poor
7.916,27.094,1.065,32.65792,,4.92492,12.3123,Poor
7.904,27.08,1.0,32.66304,,,,Poor
7.931,26.959,0.945,32.58816,,4.9709200000000004,12.4273,Poor
7.916,26.969,1.039,32.63872,,4.934520000000001,12.336300000000001,Poor
,26.991,0.868,32.6304,,4.79368,11.9842,Fair
,26.994,0.906,32.65408,,,,Fair
7.915,27.033,0.964,32.67264,,5.357040000000001,13.392600000000002,Poor
7.939,26.896,1.044,32.60544,,5.153280000000001,12.883200000000002,Poor
7.907,26.96,1.14,32.64768,,5.1176,12.794,Poor
7.92,26.917,0.911,32.72704,,5.011160000000001,12.527900000000002,Poor
7.904,26.948,0.924,32.63808,,4.9694400000000005,12.4236,Poor
7.933,27.005,1.107,32.68672,,5.5614,13.9035,Poor
7.91,26.978,0.846,32.6592,,5.061840000000001,12.654600000000002,Poor
7.924,26.971,0.957,32.67776,,5.32068,13.3017,Poor
,26.998,0.806,32.675200000000004,,4.94504,12.362599999999999,Fair
7.915,27.069,1.073,32.712959999999995,,5.386120000000001,13.465300000000001,Poor
7.917,27.144,1.063,32.70912,,5.33812,13.345299999999998,Poor
7.908,27.178,0.978,32.71232,,5.101840000000001,12.754600000000002,Poor
7.905,27.207,0.88,32.72768,,4.964560000000001,12.411400000000002,Poor
7.914,27.213,1.091,32.74496,,5.3124400000000005,13.2811,Poor
7.914,27.218,0.941,32.73344,,5.19244,12.9811,Poor
7.911,27.231,0.875,32.49728,,5.115480000000001,12.7887,Poor
7.908,27.213,1.134,32.73152,,5.175040000000001,12.937600000000002,Poor
7.91,27.214,1.065,32.83712,,5.21532,13.0383,Poor
,27.22,1.016,32.72256,,4.9984,12.496,Fair
7.903,27.176,0.998,32.86784,,5.24888,13.1222,Poor
7.905,27.078,1.03,32.7648,,5.2602400000000005,13.1506,Poor
7.907,27.03,1.123,32.7712,,5.277000000000001,13.1925,Poor
7.913,26.959,1.135,32.725120000000004,,5.453720000000001,13.6343,Poor
7.91,26.917,1.03,32.72448,,5.177760000000001,12.944400000000002,Poor
7.904,26.889,1.045,32.68096,,5.16612,12.9153,Poor
